City_ID,City,Lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,akureyri,65.6835,-18.0878,284.11,87,100,5.14,IS,1687125162
165,nuku'alofa,-21.1333,-175.2,296.34,78,40,2.57,TO,1687125162
166,itoman,26.1247,127.6694,300.36,89,75,8.23,JP,1687125163
167,howrah,22.5892,88.3103,303.15,84,75,3.09,IN,1687125163
168,twon-brass,4.3151,6.2418,299.45,85,100,4.03,NG,1687125163
169,suixi,33.8907,116.7747,293.77,95,100,4.11,CN,1687124946
170,agat village,13.3886,144.6585,301.35,87,20,3.09,GU,1687125163
171,katabu,-4.9333,122.5167,295.33,93,62,1.62,ID,1687125021
172,thrapston,52.3968,-0.5392,291.32,90,100,2.94,GB,1687125164
173,cannonvale,-20.2833,148.7,292.81,85,27,2.69,AU,1687125164
174,ocean shores,46.9737,-124.1563,289.47,73,0,7.2,US,1687125024
175,haiku-pauwela,20.9219,-156.3051,303.16,45,20,11.32,US,1687125165
176,dori,14.0354,-0.0345,306.16,39,99,7.64,BF,1687125165
177,wajir,1.7471,40.0573,299.65,59,85,8.32,KE,1687125165
178,namtsy,62.7161,129.6658,292.11,64,49,3.97,RU,1687125165
179,olds,51.7834,-114.102,283.62,87,100,6.17,CA,1687125165
180,oraiokastro,40.7615,22.9072,294.23,58,5,2.26,GR,1687125166
181,constitucion,-35.3333,-72.4167,286.12,88,100,3.12,CL,1687125057
182,lake charles,30.2131,-93.2044,308.27,67,0,9.77,US,1687125018
183,port augusta,-32.5,137.7667,282.54,79,41,3.71,AU,1687125166
184,geraldton,-28.7667,114.6,280.38,81,64,4.63,AU,1687125167
185,weno,7.4515,151.8468,300.12,89,75,2.06,FM,1687125167
186,bcharre,34.2508,36.0106,286.11,86,0,1.29,LB,1687125167
187,hirara,24.8,125.2833,299.3,94,20,8.23,JP,1687125167
188,nguigmi,14.2495,13.1092,302.95,55,100,2.69,NE,1687125167
189,grand falls-windsor,48.9332,-55.6649,281.76,82,98,3.63,CA,1687125168
